timestamp,username,message
2025-11-02 15:00:09,@ayayna123,:face-red-droopy-eyes:
2025-11-02 15:00:10,@panjikencana3760,ae
2025-11-02 15:00:12,@Lapiii_25,lama
2025-11-02 15:00:12,@fanzxyzz12-1,onic my heart
2025-11-02 15:00:13,@TarakaArdani,scam
2025-11-02 15:00:15,@prioritasku1673,NUNGGU LAGI 3 JAM
2025-11-02 15:00:18,@nightbot,MPL ID dengan tegas menentang segala bentuk perjudian & mendukung kompetisi yang adil dan berintegritas. Mari kita bangun komunitas yang menghormati nilai-nilai sportivitas dalam dunia esports!
2025-11-02 15:00:19,@TarakaArdani,woi
2025-11-02 15:00:21,@DimasRamadhani-mw8cp,Jam brp grand final mulai?
2025-11-02 15:00:24,@GERRY563,Langsung aja kasih piala mpl nya ke Onic dan piala M7 ke Tlph:face-blue-smiling::face-blue-smiling:
2025-11-02 15:00:28,@estehmanisss356,siap siap king ae angkat piala
2025-11-02 15:00:28,@Shafa122-u1q,jam 5 ;30 masih lama .kok sdah rame aja
2025-11-02 15:00:28,@ayayna123,seganteng itu dibilang badut :face_with_tears_of_joy::face_with_tears_of_joy:
2025-11-02 15:00:30,@Anwar_asli,onic
2025-11-02 15:00:31,@Vladzzyd,ALTER EGO GO GO G
2025-11-02 15:00:33,@JokoTingkir-s6k7t,let's go AE
2025-11-02 15:00:34,@the1n_aqil,TANDAIN GW ONIC JUARA GW BOTAK:pile_of_poo:
2025-11-02 15:00:34,@dlx-i9g,onic
2025-11-02 15:00:34,@ClaraShaumi,ini apaa dulu?
2025-11-02 15:00:34,@nishikhawa,mulai nya kapan dah ini
2025-11-02 15:00:35,@NandaOos,ae
2025-11-02 15:00:36,@GERRY563,Langsung aja kasih piala mpl nya ke Onic dan piala M7 ke Tlph:face-blue-smiling::face-blue-smiling:
2025-11-02 15:00:38,@Devinaoktaviani-z6f,GO GO Onic
2025-11-02 15:00:43,@AeniAinsisi,AE akan mengukir sejarah baru
2025-11-02 15:00:44,@prioritasku1673,NUNGGU LAGI 3 JAM
2025-11-02 15:00:45,@dlx-i9g,rrq juara nih
2025-11-02 15:00:51,@ongki-real,udh Sonic ga usa nonton ae yang bakal juara
2025-11-02 15:00:53,@Vladzzyd,ALTER EGO GO GO GO
2025-11-02 15:00:54,@adehermawan4787,Grandfinal mulai ntar subuh kocak
2025-11-02 15:00:55,@ahmadropy3264,EVOS TANPA EVOS DIVINE GAADA APANYA
2025-11-02 15:00:56,@rexlucida,M7 ny kapan
2025-11-02 15:00:57,@GilbertDaniel-w3q,AE JUARA CATAT
2025-11-02 15:01:03,@TarakaArdani,woi
2025-11-02 15:01:06,@DenyHann,ALTER EGO GO GO GO
2025-11-02 15:01:06,@Gubaygeboy425,dah tau siapa yang juara nya
2025-11-02 15:01:07,@JaluAdiprasetyo,1 jutaan ayok. gw AE
2025-11-02 15:01:07,@Aziz-DJ,lagu Shinbi jier
2025-11-02 15:01:08,@popo_00,ONIC 2 - 1 AE
2025-11-02 15:01:08,@Budi_M,onic lh jls
2025-11-02 15:01:09,@irfanasror46,onic juara lagi
2025-11-02 15:01:10,@GERRY563,Langsung aja kasih piala mpl nya ke Onic dan piala M7 ke Tlph:face-blue-smiling::face-blue-smiling:
2025-11-02 15:01:12,@prioritasku1673,NUNGGU LAGI 3 JAM
2025-11-02 15:01:13,@yogizjalupambayun5237,gas onic
2025-11-02 15:01:13,@IkhsanSurya07,lahhh kok ada bang crispy
2025-11-02 15:01:13,@adebajuriii,ae juara fix
2025-11-02 15:01:14,@6j.envyyshikii,SEMOGA ADA KEJUTAN BUAT AE
2025-11-02 15:01:16,@ayayna123,seketika banyak yg ngaku Sonic :face_with_tears_of_joy:
2025-11-02 15:01:16,@Devinaoktaviani-z6f,Onic juara catat
2025-11-02 15:01:16,@motovlogbhabang646,fans karbitan
2025-11-02 15:01:21,@deouis728, 
2025-11-02 15:01:22,@IRVAN_24,RRQ KAPAN MAIN
2025-11-02 15:01:25,@LewangSkylar-o7y,ONIC
2025-11-02 15:01:26,@moh.raihani5358,skip cendyy
2025-11-02 15:01:26,@GERRY563,Langsung aja kasih piala mpl nya ke Onic dan piala M7 ke Tlph:face-blue-smiling::face-blue-smiling:
2025-11-02 15:01:27,@StephanusAlberto,Ini tentang AE dan Onic. Gak usah bawa tim lain.
2025-11-02 15:01:28,@gerdayudistira-bd4lw,1jta onic
2025-11-02 15:01:32,@ongki-real,"ae cik yang juara, Sonic out aja"
2025-11-02 15:01:34,@abdussomad9971,JM BRP mulai ngab match satu ny
2025-11-02 15:01:34,@nuelzyy,sonic dari lari nek
2025-11-02 15:01:34,@tholetrisnoanarki4872,ssmoga onic lose
2025-11-02 15:01:35,@adehermawan4787,RRQ JUARA DI GOA :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:
2025-11-02 15:01:35,@Devinaoktaviani-z6f,Onic pasti menangg
2025-11-02 15:01:36,@sarwokogojek4178,ae juara ini
2025-11-02 15:01:38,@abdussomad9971,JM BRP mulai ngab match satu ny
2025-11-02 15:01:39,@zee_idontnow213,onic timee
2025-11-02 15:01:39,@kikiamalia681,dah main ngga sih
2025-11-02 15:01:41,@prioritasku1673,NUNGGU LAGI 3 JAM BARU MULAI
2025-11-02 15:01:41,@KhairiKhairi-uj9nq,kasihh AE aja piala nyaa
2025-11-02 15:01:42,@chaerry_jung5803,jam berapaa main
2025-11-02 15:01:43,@anggreanisupit2222,onic juara tandain guee:red_heart:
2025-11-02 15:01:43,@GERRY563,Langsung aja kasih piala mpl nya ke Onic dan piala M7 ke Tlph:face-blue-smiling::face-blue-smiling:
2025-11-02 15:01:44,@sarwokogojek4178,xepher jenius njir
2025-11-02 15:01:44,@nuelzyy,sonic dari lahir nek
2025-11-02 15:01:45,@yoshuahs17,Diatas ONIC ada AE :rolling_on_the_floor_laughing:
2025-11-02 15:01:45,@TaufikFandores369,bismillah onic
2025-11-02 15:01:45,@Skydenzsigma,jam brp
2025-11-02 15:01:49,@yanz-c7x,ONIC 5JT SINI
2025-11-02 15:01:49,@ApriadiMimin,ONIC PLIS
2025-11-02 15:01:50,@zee_idontnow213,sepi gak disana?
2025-11-02 15:01:51,@ArissPaul-ke5qq,jam brpa ini maen nya
2025-11-02 15:01:52,@HaziziKnight,go ae go ae go
2025-11-02 15:01:52,@GilbertDaniel-w3q,KENAPA AE JUARA ? KERANA AE LAGI ON FIRE AND SUDAH LAMA MENANTI SAAT INI SEDANGKAN ONIC MASI DI POSISI YANG SELESA 
2025-11-02 15:01:53,@OlOl-d2v4c,SAAT NYA AE JUARA!!!!!!
2025-11-02 15:01:54,@TarakaArdani,scam
2025-11-02 15:01:56,@ghanidiningrat12,delwyn atau dellost nih guyss
2025-11-02 15:01:57,@sa1nthowl,@GML556
2025-11-02 15:01:57,@ongki-real,"onic go to goa lah, ae yang juara"
2025-11-02 15:01:57,@Danissafa13,bismillahirrahmanirrahim semoga ONIC juara lagi
2025-11-02 15:02:00,@dangaming-b1u,p
2025-11-02 15:02:00,@TarakaArdani,woi
2025-11-02 15:02:03,@KaleppZ,Kasih yang terbaik aja dari kedua dua team
2025-11-02 15:02:04,@antosuparwanto5431,pegang ERERQ 100 JT all in
2025-11-02 15:02:05,@fery21,rrq ga diundang ya kasihan huahahahhaa
